438,Spiral Filipino,Filipino for Grade 7 - Spiral Filipino,3,hi hello kiso bolo,47,2013-2014,First,,,,,
439,Spiral English,English for Grade 7,3,,47,2013-2014,First,,,,,
440,Spiral Mathematics,Mathematics for Grade 7 - Spiral Math,3,,47,2013-2014,First,,,,,
441,Spiral Science,Science for Grade 7,3,,47,2013-2014,First,,,,,
442,Spiral T.L.E,T.L.E for Grade 7,3,,47,2013-2014,First,,,,,
443,Spiral A.P,Araling Panlipunan for Grade 7,3,,47,2013-2014,First,,,,,
444,Spiral Religion,rekligion for Grade 7,3,,47,2013-2014,First,,,,,
445,Spiral EsP.,EsP. for Grade 7,3,,47,2013-2014,First,,,,,
446,MAPEH,MAPEH for Grade 8 ,3,,48,2013-2014,First,,,,,
447,MAPEH,MAPEH for Grade 7,3,,47,2013-2014,First,,,,,
448,Religion,Religion for Grade 8,3,,48,2013-2014,First,,,,,
449,Spiral Filipino,Filipino for Grade 8 ,3,,48,2013-2014,First,,,,,
450,Spiral English,English for Grade 8,3,,48,2013-2014,First,,,,,
451,Spiral Mathematics,Mathematics for Grade 8 ,3,,48,2013-2014,First,,,,,
452,Spiral Science,Science for Grade ,3,,48,2013-2014,First,,,,,
453,Spiral T.L.E.,T.L.E for Grade 7 ,3,,48,2013-2014,First,,,,,
454,Spiral A.P.,Araling Panlipunan for Grade 8,3,,48,2013-2014,First,,,,,
455,Spiral EsP.,EsP. for Grade 7,3,,48,2013-2014,First,,,,,
457,Spiral Filipino,Filipino for Grade 9,3,,49,2013-2014,First,,,,,
458,Spiral English,English for Grade 9,3,,49,2013-2014,First,,,,,
459,Spiral Mathematics,Mathematics for Grade 9,3,,49,2013-2014,First,,,,,
460,Spiral Science,Science for Grade 9,3,,49,2013-2014,First,,,,,
461,Spiral A.P.,Araling Panlipunan for Grade 9,3,,49,2013-2014,First,,,,,
462,Spiral T.L.E.,T.L.E for Grade 9,3,,49,2013-2014,First,,,,,
463,Spiral MAPEH,MAPEH for Grade 9,3,,49,2013-2014,First,,,,,
464,Values Education,Values Education for Grade 9,3,,49,2013-2014,First,,,,,
465,Computer,Computer for grade 9,3,,49,2013-2014,First,,,,,
466,Religion IV,Religion for Grade 10,3,,50,2013-2014,First,,,,,
467,Spiral Filipino,Filipino for Grade 10,3,,50,2013-2014,First,,,,,
468,Spiral Mathematics,Mathematics for Grade 10,3,,50,2013-2014,First,,,,,
469,Spiral Science,Science for Grade 10,3,,50,2013-2014,First,,,,,
471,Spiral T.L.E.,T.L.E for Grade 10,3,,50,2013-2014,First,,,,,
472,Spiral MAPEH,MAPEH for Grade 10,3,,50,2013-2014,First,,,,,
473,Values Education,Values Education for Grade 10,3,,50,2013-2014,First,,,,,
474,CAT,Citizens Advancement Training,3,,50,2013-2014,First,,,,,
475,Computer,Computer for grade 10,3,,50,2013-2014,First,,,,,
476,hjgjhggh,gj,3,,51,2013-2014,First,,,,,
